lgu,doc_type,title,year,source_url,local_path,is_scanned,needs_ocr,notes
Makati,ordinance,City Ordinance No. 2014-064 (amends Ord. 2012-037 creating Makati DRRMO),2014,TODO-backfill-Makati-legislation-repo,corpus/Makati/makati_ord_2014-064.txt,yes,done,"OCR complete (tesseract, 3pp, clean). Aligns DRRMO composition w/ DBM-NCR + JMC 2014-01. Establishes 3 divisions + integrates C3/Rescue. Evidence for oblig #3 and #1."
Makati,hazard_map,PHIVOLCS Makati Ground Rupture hazard (MAK_GR_2013),2013,PHIVOLCS-GeoServer,corpus/Makati/aft_2013_137602000_01.kmz,n/a,no,"KMZ raster tiles; evidence oblig #4/#5. Confirm LGU public display for full #4."
Makati,hazard_map,PHIVOLCS Makati Earthquake-Induced Landslide hazard (MAK_EIL_2013),2013,PHIVOLCS-GeoServer,corpus/Makati/eil_2013_137602000_01.kmz,n/a,no,"KMZ raster tiles; evidence oblig #4/#5."
Marikina,other,"Sangguniang Panlungsod Resolution No. 109 s.2025 (State of Calamity, Typhoon Crising/Habagat)",2025,TODO-backfill-Marikina-SP,corpus/Marikina/marikina_res_109_2025.txt,yes,done,"OCR complete (3pp, clean). ACTIVITY evidence: MCDRRMC functioning (#1/#5) + QRF invoked (#7). NOT the LDRRMP or DRRMO ordinance."
Pasig,hazard_map,PHIVOLCS Pasig Ground Shaking M7.2 hazard (PSG_GS_M7.2_2013),2013,PHIVOLCS-GeoServer,corpus/Pasig/gsh_2013_137403000_02.kmz,n/a,no,"First Pasig artifact. Evidence oblig #4/#5."
Quezon City,hazard_map,PHIVOLCS Quezon City Earthquake-Induced Landslide hazard,2013,PHIVOLCS-GeoServer,corpus/QuezonCity/eil_2013_137404000_01.png,n/a,no,"First QC artifact (PNG). Evidence oblig #4/#5."
NATIONAL,other,Republic Act No. 10121 full text (Official Gazette),2010,https://www.officialgazette.gov.ph/2010/05/27/republic-act-no-10121/,corpus/_national/RA_10121.pdf,no,no,"Rubric anchor itself, now in hand. Text layer OK."
NATIONAL,contingency_plan,Harmonized National Contingency Plan for the Magnitude 7.2 Earthquake (NDRRMC),2019,TODO-backfill-NDRRMC,corpus/_national/harmonized_national_CP_M7.2.pdf,no,no,"THE West Valley Fault national CP. Grounds the seismic sub-lens directly. Text layer OK."
NATIONAL,other,National Disaster Response Plan for Earthquake and Tsunami (OCD/NDRRMC),2020,TODO-backfill-OCD,corpus/_national/NDRP_earthquake.pdf,no,no,"Seismic response standard. Grounds seismic sub-lens. Text layer OK."
NATIONAL,other,"ALeRTO-LGA Disaster Preparedness Manual for Localized Weather Disturbances (DILG-LGA + Ateneo de Zamboanga)",2019,TODO-backfill-DILG-LGA,corpus/_national/ALeRTO_LGA_preparedness_manual.pdf,no,no,"LGU preparedness standard (weather-focused, not seismic). Sits with Operation L!STO on the should-have side."
Marikina,case_study,"Flood Disaster Mitigation and River Rehabilitation by Marikina City (ADPC Safer Cities No. 22, PROMISE) — Iglesias & Yu",2008,https://www.adpc.net/igo/category/ID221/doc/2013-nri7LY-ADPCSafer_Cities_22.pdf,corpus/Marikina/marikina_adpc_safercities22_2008.notes.md,no,no,"SECONDARY (third-party; ADPC/USAID-OFDA, quotable-with-credit). Facts-only extract, NOT verbatim. PRE-RA10121 context: Marikina DRRM ordinance timeline incl. Ord.109 s.2005 (Comprehensive EQ Disaster Reduction program) -> OB5 corroboration; Ord.264 s.1998 (Rescue 161 disaster office) -> OB1/OB3 historical context only. Does NOT collect current-law instruments."
